name,artist,url,release_date,added_at,created_at
melt into YOU - feat.a子,CHIAKI SATO,https://open.spotify.com/album/1LSdYXveZ1weRohT3cAW9B,2023-01-25,2023-01-28,2023-07-31
Made You Look (feat. Kim Petras),"['Meghan Trainor', 'Kim Petras']",https://open.spotify.com/album/41NpvqeMM2xxTI7GQZskg7,2023-01-13,2023-01-28,2023-07-31
The Way You Look At Me,Ben&Ben,https://open.spotify.com/album/0AhITlFtQQGB3X5KAqf7Ng,2023-01-27,2023-01-28,2023-07-31
Koi ha jealousy,Lisa Halim,https://open.spotify.com/album/7K2SHuNbsnIZ1EwGjuR2Qf,2023-01-25,2023-01-28,2023-07-31
またね,LAGHEADS,https://open.spotify.com/album/29hUw40qYCdiUKb5ry9Fjp,2023-01-25,2023-01-28,2023-07-31
生きる者,Ohashi Trio,https://open.spotify.com/album/26gXUOA2UGD1g0Bq3scVqi,2023-01-22,2023-01-28,2023-07-31
my girl my girl,なかにしりくトリオ。,https://open.spotify.com/album/764cmrnDlboIqPPqtSuC4s,2013,2023-01-29,2023-07-31
My Stupid Heart,Walk off the Earth,https://open.spotify.com/album/5csTYfCTB01hnZ3tT1yI39,2023-01-27,2023-02-01,2023-07-31
永遠に続く日々の階段を,HIRAIDAI,https://open.spotify.com/album/4oJIvNK2JtvlkO3mybZdiV,2023-01-22,2023-02-01,2023-07-31
Bench Seat,Chase Rice,https://open.spotify.com/album/0cWOT0ztkGUKJNb0M9nJfM,2023-01-27,2023-02-01,2023-07-31
Running For Cover,"['Black Caviar', 'Rion S', 'DOMENICO']",https://open.spotify.com/album/5zIAjLfyBTRf68LnNVVAHX,2023-01-27,2023-02-02,2023-07-31
Lay All Your Love On Me,ABBA,https://open.spotify.com/album/3ZdkT5buYFi1WQaB0XNNtf,1980,2023-02-05,2023-07-31
Something Big,Burt Bacharach,https://open.spotify.com/album/0f5mInd7Nsb74x5Cs0yuaQ,1973,2023-02-10,2023-07-31
I Say a Little Prayer,Aretha Franklin,https://open.spotify.com/album/55HZ2ectg1mMTEKDqIq3kC,1968-06-14,2023-02-10,2023-07-31
Believer,SYML,https://open.spotify.com/album/6012ywIYPi6nTdh3mu18ht,2023-02-03,2023-02-22,2023-07-31
Better Part of Me,SYML,https://open.spotify.com/album/6012ywIYPi6nTdh3mu18ht,2023-02-03,2023-02-22,2023-07-31
You and I,SYML,https://open.spotify.com/album/6012ywIYPi6nTdh3mu18ht,2023-02-03,2023-02-22,2023-07-31
rose - feat. Vaundy,"['Chilli Beans.', 'Vaundy']",https://open.spotify.com/album/4dF1UtRhD4zW3w0h6MXerB,2023-01-30,2023-02-22,2023-07-31
Last Night,Morgan Wallen,https://open.spotify.com/album/7fOmdhRrRohTzToL617xkk,2023-01-31,2023-02-22,2023-07-31
boy - feat. asmi & imase,KERENMI,https://open.spotify.com/album/3hAkBmRP4YFi2wappHJ4ps,2023-02-03,2023-02-22,2023-07-31
"Adam, Check Please",Owl City,https://open.spotify.com/album/399kIH3YZKs99bHb6NG5ER,2023-02-03,2023-02-22,2023-07-31
Delightful (The Sower Never Wastes A Tear) - Studio,Hillsong UNITED,https://open.spotify.com/album/1XU0q2pQTtM7x6OJ6uVQOr,2023-02-03,2023-02-22,2023-07-31
God Song - Studio,Hillsong UNITED,https://open.spotify.com/album/1XU0q2pQTtM7x6OJ6uVQOr,2023-02-03,2023-02-22,2023-07-31
On Repeat - Two Palms Sessions,Hillsong UNITED,https://open.spotify.com/album/1XU0q2pQTtM7x6OJ6uVQOr,2023-02-03,2023-02-22,2023-07-31
All Comes Back To You,Ali Gatie,https://open.spotify.com/album/7LIma3JhuhzLm30VHqvaNK,2023-02-10,2023-02-23,2023-07-31
PAANO?,Arthur Miguel,https://open.spotify.com/album/42nBCiHIRB3feRyB6SPoGM,2023-02-10,2023-02-23,2023-07-31
Bench Seat,Chase Rice,https://open.spotify.com/album/3Op5gWQhEgVB3x2H4OHDvV,2023-02-10,2023-02-23,2023-07-31
Life Part Of Livin',Chase Rice,https://open.spotify.com/album/3Op5gWQhEgVB3x2H4OHDvV,2023-02-10,2023-02-23,2023-07-31
I Walk Alone,Chase Rice,https://open.spotify.com/album/3Op5gWQhEgVB3x2H4OHDvV,2023-02-10,2023-02-23,2023-07-31
If I Were Rock & Roll,Chase Rice,https://open.spotify.com/album/3Op5gWQhEgVB3x2H4OHDvV,2023-02-10,2023-02-23,2023-07-31
生きる者,Ohashi Trio,https://open.spotify.com/album/5Nv9W616gFxR6b1m4mTnpc,2023-02-08,2023-02-23,2023-07-31
Nervous - Piano Version,John Legend,https://open.spotify.com/album/5WgC0rNbr8aC5vEqL9U8Zo,2023-02-08,2023-02-23,2023-07-31
Wonder Woman - Piano Version,John Legend,https://open.spotify.com/album/5WgC0rNbr8aC5vEqL9U8Zo,2023-02-08,2023-02-23,2023-07-31
XENA,"['Skrillex', 'Nai Barghouti']",https://open.spotify.com/album/6dIRD8FVDLGmA0AoxYEOeA,2023-02-02,2023-02-23,2023-07-31
Just Because,mrld,https://open.spotify.com/album/4KE1Eeu0tO0f2czX9pfaRc,2023-02-10,2023-02-23,2023-07-31
Classic Shit,Pandrezz,https://open.spotify.com/album/1hE5Ipq4ujuEiTYMqJ7JqV,2023-02-10,2023-02-23,2023-07-31
Nandito Pa,Feel Day,https://open.spotify.com/album/5oBn37lOIUajVfvW6X64B7,2019-01-25,2023-02-24,2023-07-31
Love You 'Til The End,Nicole Abuda,https://open.spotify.com/album/1HHCaAcpwAviWcyjHx9HLH,2023-02-10,2023-02-24,2023-07-31
Leave Me Like This,Skrillex,https://open.spotify.com/album/7tWP3OG5dWphctKg4NMACt,2023-02-17,2023-02-25,2023-07-31
STAGEFRIGHT,CODY JON,https://open.spotify.com/album/1uh3IWRijeFQAFMXwD1Lfn,2023-02-13,2023-02-27,2023-07-31
dirty dancing,CODY JON,https://open.spotify.com/album/1uh3IWRijeFQAFMXwD1Lfn,2023-02-13,2023-02-27,2023-07-31
When I Get There,P!nk,https://open.spotify.com/album/1GIWJs7mEdzKym3tQ8QScJ,2023-02-17,2023-02-27,2023-07-31
Just Say I'm Sorry,P!nk,https://open.spotify.com/album/1GIWJs7mEdzKym3tQ8QScJ,2023-02-17,2023-02-27,2023-07-31
Valentine - Live at The Symphony,"['Laufey', 'Iceland Symphony Orchestra']",https://open.spotify.com/album/7fdSE4B5ppCj5jL5iX99w3,2023-02-14,2023-02-27,2023-07-31
HINGA,Zack Tabudlo,https://open.spotify.com/album/7LVnO3GNEfzjixX3ApTY1E,2023-02-14,2023-02-28,2023-07-31
Friday Night,tonun,https://open.spotify.com/album/6dNszo04S4P26VRdTUGP0K,2023-02-15,2023-02-28,2023-07-31
Come Inside Of My Heart,IV Of Spades,https://open.spotify.com/album/1vhonIQNvNg0bKRMO9RxUE,2023-02-24,2023-03-01,2023-07-31
Ang Pag-Ibig Natin,Nicole Abuda,https://open.spotify.com/album/0andw1k6qNIN6eH0Sl23UF,2018-12-22,2023-03-01,2023-07-31
Di Na Akin,Amiel Sol,https://open.spotify.com/album/2hOhfMC06eOxCJBTGhCIq4,2022-10-28,2023-03-02,2023-07-31
imagine if,gnash,https://open.spotify.com/album/2UqlRqWxfYnlQFEgNoot7v,2019-01-11,2023-03-02,2023-07-31
Bottom,KAIRUI,https://open.spotify.com/album/6TSmuVbSn6zqD5gBFPNWvA,2022-04-16,2023-03-03,2023-07-31
Subtitle,OFFICIAL HIGE DANDISM,https://open.spotify.com/album/12sWDwrDnaBl0EagZU4sXV,2022-10-12,2023-03-03,2023-07-31
たぶん,YOASOBI,https://open.spotify.com/album/2882DYZkYy3UOYyWOvbnnl,2020-07-20,2023-03-03,2023-07-31
อยากให้รู้ว่ารักเธอ,รวมศิลปิน (ME เนื้อ ME หนัง),https://open.spotify.com/album/0P23ddI3eXXldYzwjZjr7U,2022-11-03,2023-03-03,2023-07-31
Missing You Now,Matt Wills,https://open.spotify.com/album/5LOWtovx8WLCYuvviQRB32,2022-12-23,2023-03-03,2023-07-31
Murder In My Mind,Kordhell,https://open.spotify.com/album/68GI09qAs2XLJmA3hj5K7y,2022-01-21,2023-03-03,2023-07-31
No Reason,Sum 41,https://open.spotify.com/album/1aG8QbhABVtVxNlAkk8VBW,2004-10-12,2023-03-03,2023-07-31
Let You Break My Heart Again,"['Laufey', 'Philharmonia Orchestra']",https://open.spotify.com/album/2YkyuQGoMV2FlG7mFprnRf,2021-08-13,2023-03-03,2023-07-31
1001 Arabian Nights,Chipz,https://open.spotify.com/album/3fuyXU6qRuSyC8yK3cMu83,2005-03-18,2023-03-03,2023-07-31
JAPANESE WHISKEY,Ruel,https://open.spotify.com/album/17FxTkMIOb6nzuewcCmTJc,2023-03-03,2023-03-04,2023-07-31
SITTING IN TRAFFIC,Ruel,https://open.spotify.com/album/17FxTkMIOb6nzuewcCmTJc,2023-03-03,2023-03-04,2023-07-31
GROWING UP IS _____,Ruel,https://open.spotify.com/album/17FxTkMIOb6nzuewcCmTJc,2023-03-03,2023-03-04,2023-07-31
LIE,Ruel,https://open.spotify.com/album/17FxTkMIOb6nzuewcCmTJc,2023-03-03,2023-03-04,2023-07-31
SOMEONE ELSE'S PROBLEM,Ruel,https://open.spotify.com/album/17FxTkMIOb6nzuewcCmTJc,2023-03-03,2023-03-04,2023-07-31
CHANT (feat. Tones And I),Macklemore,https://open.spotify.com/album/6K5RX7xasf8WdeQjapsThS,2023-03-03,2023-03-04,2023-07-31
Believer,SYML,https://open.spotify.com/album/5eqhyhRvWVxHr5tZudNJ8W,2023-03-10,2023-03-12,2023-07-31
People (slowed + reverb) - Remix,Xanemusic,https://open.spotify.com/album/6BVJ9G4mxFyUWqGio0xDVK,2023-03-06,2023-03-12,2023-07-31
Plano,TJ Monterde,https://open.spotify.com/album/6awQ41BbDiR8kqhNDxUohu,2023-03-09,2023-03-12,2023-07-31
Akin Ka Na Lang,JM De Guzman,https://open.spotify.com/album/5C2snLeV3MVpEcKhBpxIur,2012-02-01,2023-03-12,2023-07-31
Under the Tree,SiM,https://open.spotify.com/album/7wQyvP7maIKn0uTGr66eI3,2023-03-04,2023-03-14,2023-07-31
Man Made A Bar (feat. Eric Church),Morgan Wallen,https://open.spotify.com/album/6i7mF7whyRJuLJ4ogbH2wh,2023-03-03,2023-03-14,2023-07-31
’98 Braves,Morgan Wallen,https://open.spotify.com/album/6i7mF7whyRJuLJ4ogbH2wh,2023-03-03,2023-03-14,2023-07-31
Tennessee Numbers,Morgan Wallen,https://open.spotify.com/album/6i7mF7whyRJuLJ4ogbH2wh,2023-03-03,2023-03-14,2023-07-31
In The Bible (feat. HARDY),Morgan Wallen,https://open.spotify.com/album/6i7mF7whyRJuLJ4ogbH2wh,2023-03-03,2023-03-14,2023-07-31
Thought You Should Know,Morgan Wallen,https://open.spotify.com/album/6i7mF7whyRJuLJ4ogbH2wh,2023-03-03,2023-03-14,2023-07-31
Money On Me,Morgan Wallen,https://open.spotify.com/album/6i7mF7whyRJuLJ4ogbH2wh,2023-03-03,2023-03-14,2023-07-31
春に僕はなくなる,Yuki Akira,https://open.spotify.com/album/2SFq07dVg2PicJjD4X7M6l,2023-03-08,2023-03-14,2023-07-31
Take That ! feat. TENDRE,Tomita Lab.,https://open.spotify.com/album/3Krjqn3TYEyvQ4JC0TF7xX,2023-03-08,2023-03-14,2023-07-31
忘れさせて,YAJICO GIRL,https://open.spotify.com/album/2bEq5HpMoGQRikWSVJEacq,2023-03-08,2023-03-15,2023-07-31
前夜,4na,https://open.spotify.com/album/7FRSMhZwqwmU1kmmqyljCW,2023-03-08,2023-03-15,2023-07-31
灯り,眞名子 新,https://open.spotify.com/album/5FOzwzqAslUU7oX5HitDW7,2023-03-08,2023-03-15,2023-07-31
